ID;Longitude;Latitude;kod.pocztowy;creationDate
393;51.116962;17.016197;53-649;12.02.2021
394;51.121506;17.032167;50-246;21.10.2019
395;51.153366;16.862562;54-072;04.03.2021
396;51.155075;16.899233;54-054;02.07.2019
397;51.090270;16.991163;53-203;24.11.2017
398;51.101850;17.026937;53-501;17.03.2020
399;51.121284;17.046547;50-321;02.11.2017
400;51.072050;17.034023;50-570;21.05.2019
401;51.091255;16.985725;53-212;05.08.2017
402;51.140410;16.963861;54-152;31.03.2018
403;51.056870;17.024239;52-223;28.12.2018
404;51.103380;17.029205;50-029;19.10.2017
405;51.089783;16.994871;53-203;21.07.2017
406;50.859260;16.319645;58-160;25.09.2020
407;51.500240;16.070818;59-100;29.06.2017
408;50.801216;16.252907;58-310;11.11.2020
409;50.889880;15.731751;58-500;28.08.2020
410;50.900436;15.732757;58-500;16.03.2020
411;50.902080;15.745627;58-500;26.08.2018
412;50.441833;16.245710;57-350;16.01.2021
413;51.208820;16.164260;59-220;07.04.2017
414;51.112804;17.052345;50-382;25.08.2020
415;51.051430;17.317330;55-220;10.03.2018
416;51.103000;17.046000;50-448;21.03.2021
417;51.123110;16.917610;54-513;09.09.2019
418;51.129456;17.040487;50-231;08.03.2020
419;51.048317;17.027744;52-214;15.06.2020
420;51.141200;17.025743;51-114;12.07.2020
421;51.097683;17.050508;50-433;07.01.2019
422;50.916096;15.759602;58-506;24.08.2019
423;50.783710;16.036150;58-400;31.01.2018
424;51.099920;17.002546;53-439;01.06.2020
425;51.656406;16.107449;67-200;08.11.2019
426;51.109993;17.124832;51-503;22.11.2020
427;51.064560;17.009830;53-009;01.10.2020
428;51.104378;17.042465;50-450;22.04.2019
429;50.949993;17.273504;55-200;30.11.2019
430;51.116783;16.999073;53-613;05.12.2019
431;51.078533;17.034452;50-554;05.02.2018
432;51.116604;17.025421;50-201;28.07.2018
433;50.908850;15.343262;59-850;03.05.2018
434;50.773838;15.737827;58-540;16.02.2021
435;50.770653;16.277405;58-300;02.07.2019
436;51.103638;17.052078;50-413;03.08.2019
437;51.058180;17.086830;52-121;18.03.2021
438;51.086296;17.015293;53-313;25.05.2020
439;51.108627;17.035368;50-123;27.07.2017
440;51.117290;17.047066;50-335;21.05.2017
441;51.151140;16.942820;54-107;14.06.2018
442;51.209015;17.382479;56-400;11.03.2018
443;50.824940;16.270187;58-316;19.05.2020
444;51.125698;16.970867;54-130;30.10.2017
445;51.106194;17.104095;51-670;23.08.2017
446;51.202213;17.326527;56-400;29.08.2017
447;50.781680;16.254215;58-304;02.02.2017
448;51.130790;17.043810;50-231;27.12.2020
449;51.040146;16.977325;55-040;13.06.2018
450;51.125110;17.027977;50-220;14.04.2018
451;51.085340;17.008333;53-149;20.02.2021
452;51.032753;17.336520;55-220;11.10.2018
453;51.113823;16.955160;54-436;23.05.2017
454;51.124070;17.049660;50-312;25.05.2017
455;51.209580;16.167871;59-220;29.01.2019
456;51.084545;17.056310;50-506;01.04.2020
457;51.069000;17.012000;53-010;20.05.2020
458;50.826508;15.522878;58-580;01.06.2020
459;51.203876;16.152487;59-220;23.05.2017
460;50.826912;16.478672;58-100;26.09.2019
461;50.766773;16.284610;58-300;06.10.2018
462;51.060090;17.005531;53-033;21.03.2018
463;51.124000;15.918000;59-500;01.09.2017
464;51.103150;17.022697;53-505;12.03.2021
465;50.434017;16.638573;57-300;31.01.2020
466;51.138966;17.181623;55-093;19.04.2017
467;51.127724;17.036325;50-231;09.08.2019
468;50.439000;16.653000;57-300;11.04.2019
469;51.059430;16.974075;52-326;17.04.2019
470;51.163750;16.593775;55-300;05.11.2019
471;51.103000;17.040000;50-010;15.02.2019
472;50.435627;16.651224;57-300;22.05.2019
473;51.143147;17.126999;51-354;22.04.2017
474;51.094948;16.933859;54-620;10.10.2019
475;51.202000;16.140000;59-220;06.02.2019
476;51.109585;15.584716;59-600;20.08.2019
477;50.844400;16.496124;58-100;21.10.2017
478;51.112762;17.025070;50-136;28.03.2019
479;51.090134;17.213362;55-003;15.01.2019
480;51.060543;16.968998;52-336;25.12.2017
481;51.093285;16.978834;53-203;19.12.2019
482;51.105534;17.038149;50-082;09.06.2018
483;51.123116;17.036871;50-251;16.06.2020
484;51.120250;17.035051;50-244;14.03.2020
485;51.136906;16.900341;54-032;27.11.2019
486;51.082573;17.024600;53-111;05.05.2019
487;51.129753;16.989388;54-237;14.03.2017
488;51.121433;17.029045;50-213;28.07.2017
489;51.265570;16.705654;56-120;11.05.2018
490;51.403200;16.211096;59-300;12.11.2019
491;51.207176;17.384647;56-400;19.05.2018
492;50.738487;16.642107;58-200;13.01.2017
493;51.277695;16.716219;56-120;20.03.2020
494;51.117516;17.034002;50-257;08.12.2019
495;51.262500;15.575476;59-700;09.09.2017
496;50.836105;16.498507;58-100;07.07.2020
497;50.849876;16.503710;58-100;19.12.2020
498;51.209312;16.191082;59-220;22.01.2019
499;51.112614;16.995358;53-608;13.08.2017
500;51.104523;17.007301;53-601;24.05.2019
501;50.900220;15.740903;58-500;31.10.2018
502;50.782307;16.290268;58-302;28.06.2019
503;50.821750;15.526751;58-580;06.01.2019
504;50.847775;16.471150;58-105;27.03.2017
505;50.858036;16.321707;58-160;29.12.2018
506;51.305824;17.066017;55-100;17.07.2019
507;50.858920;16.488655;58-100;20.06.2019
508;51.174065;17.048788;51-188;21.03.2017
509;50.818832;15.516578;58-580;04.11.2020
510;51.049210;17.058239;52-129;09.11.2020
511;51.067467;16.999468;53-030;01.08.2017
512;51.162730;17.125286;51-216;11.06.2017
513;51.110962;17.121426;51-505;24.01.2021
514;51.131970;17.042933;50-231;16.08.2018
515;51.118470;17.020933;50-203;29.06.2019
516;51.206550;16.143036;59-220;07.07.2019
517;51.138730;17.032913;51-109;12.08.2020
518;51.129800;17.046091;50-304;02.12.2017
519;51.061760;17.044230;52-234;27.12.2018
520;50.825460;16.286264;58-316;29.11.2019
521;51.111725;17.027770;50-128;15.01.2019
522;51.504790;16.058937;59-100;07.09.2020
523;51.111095;17.054644;50-379;19.10.2019
524;51.119987;17.024010;50-201;08.02.2017
525;51.119553;16.976393;54-215;15.01.2019
526;51.207400;16.157768;59-220;05.01.2019
527;51.385887;16.205177;59-300;27.08.2020
528;50.760998;16.283900;58-300;11.03.2018
529;51.084827;17.052980;50-505;20.09.2020
530;50.763763;16.243607;58-305;04.12.2017
531;51.111244;17.035065;50-151;25.02.2018
532;51.138080;16.929138;54-115;18.07.2020
533;50.297680;16.652710;57-500;09.09.2018
534;51.147297;17.114197;51-421;07.04.2020
535;51.105390;17.112140;51-649;14.04.2019
536;50.768150;16.280283;58-300;06.07.2020
537;51.053753;17.055920;52-131;14.01.2019
