service_key;service_variant_price
16683;200.00
16694;350.00
16710;290.00
16727;50.00
16746;30.00
16763;30.00
16770;35.00
16787;55.00
16788;35.00
16800;10.00
16809;
16821;45.00
16831;30.00
16843;60.00
16861;40.00
16870;40.00
16885;25.00
16892;30.00
16904;18.00
16914;22.00
16928;25.00
16939;
16951;65.00
16961;80.00
16981;50.00
16994;65.00
17003;65.00
17016;80.00
17030;105.00
17044;
17064;30.00
17076;95.00
17086;
17098;30.00
17112;18.00
17124;15.00
17137;13.00
17149;15.00
17158;20.00
17165;349.00
17166;449.00
17167;549.00
17182;60.00
17183;50.00
17184;60.00
17192;9.00
17200;6.00
17208;12.00
17216;16.00
17224;12.00
17233;10.00
17241;10.00
17249;20.00
17250;18.00
17259;22.00
17260;20.00
17261;20.00
17269;99.00
17277;99.00
17285;99.00
17293;60.00
17301;35.00
17310;99.00
17322;30.00
17333;15.00
17346;30.00
17359;35.00
17371;8.00
17382;9.00
17390;8.00
17398;8.00
17409;10.00
17419;30.00
17430;15.00
17439;20.00
17449;15.00
17469;25.00
17485;25.00
17495;20.00
17508;30.00
17517;35.00
17535;25.00
17554;65.00
17564;45.00
17654;14.00
17583;45.00
17599;35.00
17610;350.00
17619;300.00
17640;15.00
17652;12.00
17653;12.00
17655;12.00
17656;12.00
17676;12.00
17698;12.00
17699;12.00
17700;12.00
17720;12.00
17733;10.00
17734;10.00
17735;12.00
17736;12.00
17750;10.00
17751;10.00
17752;10.00
17782;15.00
