ID,Longitude,Latitude,kod.pocztowy,creationDate,year,geom,miasto,powiat,woj,dzielnica,sklep
182,51.657063,16.088942,67-200,2017-09-15,2017,"51.657063,16.088942",Głogów,powiat głogowski,województwo dolnośląskie,,
183,51.649338,16.076138,67-200,2019-04-15,2019,"51.649338,16.076138",Głogów,powiat głogowski,województwo dolnośląskie,Paulinów,
184,51.66771,16.079142,67-200,2018-06-18,2018,"51.66771,16.079142",Głogów,powiat głogowski,województwo dolnośląskie,,
185,50.728924,16.34453,58-330,2017-08-05,2017,"50.728924,16.34453",Jedlina-Zdrój,powiat wałbrzyski,województwo dolnośląskie,Suliszów,
186,50.43888,16.65512,57-300,2017-03-26,2017,"50.43888,16.65512",Kłodzko,powiat kłodzki,województwo dolnośląskie,,
187,50.434418,16.640661,57-300,2017-03-12,2017,"50.434418,16.640661",Kłodzko,powiat kłodzki,województwo dolnośląskie,,
188,50.436737,16.643393,57-300,2018-07-01,2018,"50.436737,16.643393",Kłodzko,powiat kłodzki,województwo dolnośląskie,,
189,50.43479,16.65551,57-300,2020-04-30,2020,"50.43479,16.65551",Kłodzko,powiat kłodzki,województwo dolnośląskie,,
190,50.796207,15.831572,58-530,2021-01-27,2021,"50.796207,15.831572",Kowary,powiat karkonoski,województwo dolnośląskie,,
191,51.208,16.152,59-220,2020-04-29,2020,"51.208,16.152",,,województwo dolnośląskie,Przedmieście Głogowskie,
192,51.205,16.151,59-220,2019-11-19,2019,"51.205,16.151",,,województwo dolnośląskie,,
193,51.203808,16.188435,59-220,2018-12-16,2018,"51.203808,16.188435",,,województwo dolnośląskie,Osiedle Mikołaja Kopernika,
194,51.212,16.14,59-220,2019-07-06,2019,"51.212,16.14",,,województwo dolnośląskie,Przedmieście Głogowskie,
195,51.2,16.16,59-220,2020-03-21,2020,"51.2,16.16",,,województwo dolnośląskie,,
196,51.211,16.16,59-220,2019-10-27,2019,"51.211,16.16",,,województwo dolnośląskie,Przedmieście Głogowskie,
197,51.207,16.14,59-220,2018-10-02,2018,"51.207,16.14",,,województwo dolnośląskie,,
198,51.204422,16.213606,59-220,2017-02-20,2017,"51.204422,16.213606",,,województwo dolnośląskie,,Żabka
199,51.206,16.159,59-220,2017-11-29,2017,"51.206,16.159",,,województwo dolnośląskie,,Galeria Gwarna
200,51.194,16.131,59-220,2019-10-30,2019,"51.194,16.131",,,województwo dolnośląskie,,Żabka
201,51.119175,15.290218,59-800,2018-10-15,2018,"51.119175,15.290218",Lubań,powiat lubański,województwo dolnośląskie,,
202,51.387028,16.202936,59-300,2017-12-31,2017,"51.387028,16.202936",Lubin,powiat lubiński,województwo dolnośląskie,,
